"sector_id,""sector_nombre"",""variable_id"",""actividad_producto_nombre"",""indicador"",""unidad_de_medida"",""fuente"",""frecuencia_nombre"",""cobertura_nombre"",""alcance_tipo"",""alcance_id"",""alcance_nombre"",""indice_tiempo"",""valor"""
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-01-01,0"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-02-01,0"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-03-01,0"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-04-01,0"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-05-01,764.924"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-06-01,3478.232"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-07-01,3395.954"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-08-01,2928.667"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-09-01,2841.751"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-10-01,6902.033"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-11-01,7619.762"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2012-12-01,8319.123"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-01-01,7893.987"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-02-01,7648.21"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-03-01,9011.614"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-04-01,8457.639"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-05-01,9381.065"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-06-01,9167.534"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-07-01,10502.377"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-08-01,9771.545"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-09-01,8532.627"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-10-01,9232.04"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-11-01,9628.18"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2013-12-01,9323.934"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-01-01,8846.178"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-02-01,8281.122"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-03-01,8765.558"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-04-01,8054.257"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-05-01,9214.2"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-06-01,9332.54"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-07-01,9257.793"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-08-01,8754.624"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-09-01,8210.751"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-10-01,8722.07"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-11-01,7286.479"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2014-12-01,8321.551"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-01-01,7930.898"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-02-01,6939.991"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-03-01,5969.649"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-04-01,6597.348"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-05-01,7360.37"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-06-01,7136.112"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-07-01,7041.496"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-08-01,7062.82"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-09-01,7177.049"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-10-01,6822.348"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-11-01,6945.9"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2015-12-01,6618.856"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-01-01,7094.434"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-02-01,5978.125"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-03-01,5791.673"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-04-01,4863.356"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-05-01,3705.489"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-06-01,4348.078"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-07-01,4753.472"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-08-01,4669.963"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-09-01,3579.48"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-10-01,3790.704"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-11-01,4612.87"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2016-12-01,4322.648"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-01-01,3387.187"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-02-01,3291.326"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-03-01,3950.112"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-04-01,3410.116"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-05-01,4229.613"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-06-01,4150.644"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-07-01,4701.008"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-08-01,5483.453"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-09-01,6072.845"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-10-01,6923.723"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-11-01,6757.148"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2017-12-01,6383.182"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-01-01,6962.233"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-02-01,5691.346"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-03-01,8507.65"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-04-01,9635.72"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-05-01,11308.623"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-06-01,10766.214"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-07-01,11008.838"
"25,""Energías alternativas"",438,""Energía biogás"",""Generación"",""MWh"",""CAMMESA"",""Mensual"",""Nacional"",""PROVINCIA"",""06"",""BUENOS AIRES"",2018-08-01,11109.452"
