Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
we can't be friends (wait for your love);eternal sunshine;Ariana Grande;3/8/24;USUM72317276;29;591,068,364;26,203;197,494,995;87;156,882,014;3,080,503;;;;578,568,464;194;126;1,612,479;;;;;
Numb / Encore;Papercuts;JAY-Z;4/12/24;USWB12400678;30;1,003,215,671;128;485,454;;;;;;;;;;;;;;;
Danza Kuduro - Cover;ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý;LOVE BGM JPN;5/14/2024;TCJPA2406007;31;1,645,079,292;;;;;;;;;;;;;;;;;
SHEESH;BABYMONS7ER;BABYMONSTER;4/1/24;KRA402400016;32;124,893,397;3,479;25,936,342;82;359,896,095;4,907,193;212,5;48,327,004;390,081,328;38,798,822;36;26;265,67;;;;;
Water;Water;Tyla;7/28/2023;USSM12305126;33;670,376,179;98,45;150,471,020;83;265,180,930;2,566,846;2,114,363;369,150,956;3,932,956,380;3,031,114,430;225;188;6,049,784;;;;;
Strangers;Strangers;Kenya Grace;9/1/23;USWB12305048;34;750,154,960;139,141;103,879,363;79;118,208,096;1,495,758;1,031,447;196,985,853;2,231,749,390;1,745,168,821;163;112;10,938,075;;;;;
Too Sweet;Unreal Unearth: Unheard;Hozier;3/22/2024;USSM12401865;35;532,012,790;23,557;67,488,850;;62,123,098;923,733;;;;384,716,227;221;47;1,516,649;;;;;
What's Love Got to Do with It - 2023 Remaster;What's Love Got to Do with It (30th Anniversary Deluxe Edition);Tina Turner;4/26/2024;GBAYE2300351;36;479,417,905;7;1,519;;;;;;;;;1;;;;;;
A Bar Song (Tipsy);A Bar Song (Tipsy);Shaboozey;4/12/24;USUYG1541249;37;311,928,522;25,766;180,237,463;96;62,694,868;837,616;;27,811,667;378,313,942;243,895,569;149;146;4,482,348;;;;;
Lose Control;Lose Control;Teddy Swims;6/23/2023;USWB12302315;38;775,135,157;88,239;180,617,454;87;139,180,960;1,504,385;396,56;49,060,857;597,513,595;4,016,801,205;215;120;5,409,388;;;;;
fukumean;fukumean;Gunna;6/15/2023;USAT22306575;39;759,998,727;188,142;80,392,612;80;94,699,547;1,222,012;1,237,229;311,252,391;3,281,790,327;140,623,676;123;88;33,130,829;;;;;
Dance Monkey;Dance Monkey;Tones And I;5/10/19;QZES71982312;40;3,071,214,106;375,201;64,901,153;71;3,366,447,481;27,240,268;10,342,366;393,814,740;5,861,939,942;2,428,166,573;549;121;37,430,204;;;;;
BIRDS OF A FEATHER;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401994;41;214,237,645;10,871;202,626,837;92;11,033,725;251,373;251,2;71,078,500;443,104,700;148,058,631;247;125;1,369,981;;;;;
